UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root       848     1   848  0    2 19:49 ?        00:00:00 /usr/sbin/thermald --no-daemon --dbus-enable
root       848     1  1019  0    2 19:49 ?        00:00:00 /usr/sbin/thermald --no-daemon --dbus-enable
root       854     1   854  0    1 19:49 ?        00:00:00 /lib/systemd/systemd-logind
root       860     1   860  0    1 19:49 ?        00:00:00 /usr/sbin/cupsd -l
root       862     1   862  0    3 19:49 ?        00:00:00 /usr/sbin/cups-browsed
root       862     1  1022  0    3 19:49 ?        00:00:00 /usr/sbin/cups-browsed
root       862     1  1023  0    3 19:49 ?        00:00:00 /usr/sbin/cups-browsed
root       872     1   872  0    1 19:49 ?        00:00:00 /usr/sbin/acpid
root       968     1   968  0    1 19:49 ?        00:00:00 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
root      1004     1  1004  0    3 19:49 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root      1004     1  1016  0    3 19:49 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root      1004     1  1018  0    3 19:49 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
lp        1020   860  1020  0    1 19:49 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root      1053     1  1053  0    1 19:49 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /var/run/wpa_supplicant
root      1106   845  1106  0    1 19:49 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-wlp6s0.pid -lf /var/lib/NetworkManager/dhclient-1350c021-0edb-45d5-a3ce-3aa9f7af3bd8-wlp6s0.lease -cf /var/lib/NetworkManager/dhclient-wlp6s0.conf wlp6s0
nobody    1117   845  1117  0    1 19:49 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
ntp       1226     1  1226  0    1 19:49 ?        00:00:00 /usr/sbin/ntpd -p /var/run/ntpd.pid -g -u 108:114
root      1227     1  1227  0    1 19:49 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root      1230     1  1230  0    1 19:49 ?        00:00:00 /usr/sbin/mdm --nodaemon
root      1245  1230  1245  0    1 19:49 ?        00:00:00 /usr/sbin/mdm --nodaemon
root      1251  1245  1251  1    2 19:49 tty8     00:00:21 /usr/lib/xorg/Xorg :0 -audit 0 -auth /var/lib/mdm/:0.Xauth -nolisten tcp vt8
root      1251  1245  1254  0    2 19:49 tty8     00:00:00 /usr/lib/xorg/Xorg :0 -audit 0 -auth /var/lib/mdm/:0.Xauth -nolisten tcp vt8
mdm       1341     1  1341  0    1 19:49 ?        00:00:00 dbus-launch --autolaunch=2a5d5f96ef9147c0b35535562b32d0ff --binary-syntax --close-stderr
mdm       1342     1  1342  0    1 19:49 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
tj-ds     1683     1  1683  0    1 19:53 ?        00:00:00 /lib/systemd/systemd --user
tj-ds     1685  1683  1685  0    1 19:53 ?        00:00:00 (sd-pam)
tj-ds     1692     1  1692  0    4 19:53 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
tj-ds     1692     1  1693  0    4 19:53 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
tj-ds     1692     1  1880  0    4 19:53 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
tj-ds     1692     1  1886  0    4 19:53 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
root      1696     1  1696  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1698  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1699  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1700  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1701  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1702  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1703  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1704  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1705  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1706  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1707  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1708  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1709  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1710  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1711  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1712  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1713  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1714  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1715  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1716  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1717  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1718  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1719  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1720  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1721  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1722  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1723  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1724  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1725  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1726  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1727  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1728  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1729  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1730  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1731  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1732  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1733  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1734  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1735  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1736  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1737  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1738  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1739  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1740  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1741  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1742  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1743  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1744  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1745  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1746  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1747  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
