F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
5 S  1000  1429     1  0  80   0 - 52159 -      ?        00:00:00 gnome-keyring-d
4 S     0  1433     1  0  80   0 - 525031 -     ?        00:00:00 console-kit-dae
4 S  1000  1507  1248  0  80   0 - 109059 poll_s ?       00:00:00 cinnamon-sessio
1 S  1000  1575  1507  0  80   0 -  2786 -      ?        00:00:00 ssh-agent
1 S  1000  1578     1  0  80   0 - 10901 poll_s ?        00:00:00 dbus-launch
1 S  1000  1579     1  0  80   0 - 10858 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1592     1  0  80   0 - 84490 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000  1597  1592  0  80   0 - 10726 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1599     1  0  80   0 - 51718 poll_s ?        00:00:00 at-spi2-registr
0 S  1000  1607  1507  0  80   0 - 312594 poll_s ?       00:00:00 cinnamon-settin
4 S     0  1624     1  0  80   0 - 86829 -      ?        00:00:00 upowerd
1 S  1000  1627     1  0  69 -11 - 127247 poll_s ?       00:00:00 pulseaudio
4 S   118  1629     1  0  81   1 - 45887 -      ?        00:00:00 rtkit-daemon
0 S  1000  1653     1  0  80   0 - 68633 poll_s ?        00:00:00 gvfsd
0 S  1000  1658     1  0  80   0 - 101717 futex_ ?       00:00:00 gvfsd-fuse
5 S     0  1673     2  0  70 -10 -     0 -      ?        00:00:00 krfcommd
0 S  1000  1679     1  0  80   0 - 44699 poll_s ?        00:00:00 dconf-service
0 S  1000  1683     1  0  80   0 - 89826 poll_s ?        00:00:00 gvfs-udisks2-vo
4 S     0  1686     1  0  80   0 - 108397 -     ?        00:00:00 udisksd
0 S  1000  1695     1  0  80   0 - 64386 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000  1700     1  0  80   0 - 64884 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000  1705     1  0  80   0 - 100905 poll_s ?       00:00:00 gvfs-afc-volume
0 S  1000  1711     1  0  80   0 - 67965 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000  1715  1507  0  80   0 - 48147 wait   ?        00:00:00 cinnamon-launch
4 S   112  1716     1  0  80   0 - 75314 -      ?        00:00:00 colord
0 S  1000  1717  1607  0  80   0 -  5594 poll_s ?        00:00:00 syndaemon
0 S  1000  1720     1  0  80   0 - 127215 poll_s ?       00:00:00 csd-printer
0 S  1000  1728  1715  1  80   0 - 448833 poll_s ?       00:00:23 cinnamon
0 S  1000  1743  1507  0  80   0 - 83045 poll_s ?        00:00:00 polkit-gnome-au
0 R  1000  1745  1507  0  80   0 - 310420 -     ?        00:00:08 nemo
0 S  1000  1746  1507  0  80   0 - 170843 poll_s ?       00:00:00 nm-applet
0 S  1000  1749  1507  0  80   0 - 104586 poll_s ?       00:00:00 cinnamon-killer
0 S  1000  1755  1507  0  80   0 -  6138 wait   ?        00:00:00 blueberry-tray
0 S  1000  1759  1755  0  80   0 -  1128 wait   ?        00:00:00 sh
0 S  1000  1760  1759  0  80   0 - 158577 poll_s ?       00:00:00 python2
0 S  1000  1765  1760  0  80   0 -  1092 poll_s ?        00:00:00 rfkill
0 S  1000  1786     1  0  80   0 - 46555 poll_s ?        00:00:00 gvfsd-metadata
0 S  1000  1790     1  0  80   0 - 87647 poll_s ?        00:00:00 gvfsd-trash
0 S  1000  1868  1507  0  80   0 - 103185 poll_s ?       00:00:00 cinnamon-screen
0 S  1000  1869  1507  0  80   0 -  7519 wait   ?        00:00:00 mintupdate-laun
0 S  1000  1875  1869  0  80   0 -  1128 wait   ?        00:00:00 sh
0 S  1000  1876  1875  0  80   0 - 179283 poll_s ?       00:00:00 mintUpdate
0 S  1000  1901  1507  0  80   0 - 59001 poll_s ?        00:00:00 applet.py
5 S     0  2063     1  0  80   0 - 10901 -      ?        00:00:00 dbus-launch
5 S     0  2064     1  0  80   0 - 10693 -      ?        00:00:00 dbus-daemon
4 S     0  2068     1  0  80   0 - 44699 -      ?        00:00:00 dconf-service
4 S     0  2157   831  0  80   0 -  4031 -      ?        00:00:00 dhclient
1 S     0  2351     2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:1
0 S  1000  2408     1  0  80   0 - 124105 poll_s ?       00:00:02 gnome-terminal-
0 S  1000  2412  2408  0  80   0 -  5741 wait_w pts/1    00:00:00 bash
1 S     0  2488     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0
1 S     0  2489     2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:2
1 S     0  2529     2  0  80   0 -     0 -      ?        00:00:00 kworker/3:1
1 S     0  2567     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_4
1 S     0  2568     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_4
1 S     0  2569     2  0  80   0 -     0 -      ?        00:00:00 usb-storage
1 S     0  2573     2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0  2613     2  0  80   0 -     0 -      ?        00:00:00 kworker/1:2
0 S  1000  2667  2408  0  80   0 -  5747 wait   pts/2    00:00:00 bash
4 S     0  2686  2667  0  80   0 - 22849 -      pts/2    00:00:00 su
4 S     0  2694  2686  0  80   0 -  5737 -      pts/2    00:00:00 bash
1 S     0  2723     2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:3
1 S     0  2766     2  0  80   0 -     0 -      ?        00:00:00 kworker/2:2
1 S     0  2801     2  0  80   0 -     0 -      ?        00:00:00 kworker/1:0
1 S     0  3807     2  0  80   0 -     0 -      ?        00:00:00 kworker/3:2
0 S  1000  3829  2408  0  80   0 -  5741 wait   pts/0    00:00:00 bash
0 S  1000  4490     1  0  80   0 - 168188 poll_s ?       00:00:03 xed
1 S     0  4855     2  0  80   0 -     0 -      ?        00:00:00 kworker/2:1
1 S     0  4872     2  0  80   0 -     0 -      ?        00:00:00 kworker/1:1
1 S     0  4879     2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:0
1 S     0  4932     2  0  80   0 -     0 -      ?        00:00:00 kworker/3:0
1 S     0  4951     2  0  80   0 -     0 -      ?        00:00:00 kworker/2:0
4 S     0  4966     1  0  80   0 - 51434 -      ?        00:00:00 nm-dispatcher
0 R  1000  4971  3829  0  80   0 -  7231 -      pts/0    00:00:00 ps
